X,Y,CONDITION,INTERSECTION_ID,NOTES,STATUS,ESTIMATED_YEAR_OF_IMPROVEMENT,YEAR_INSPECTED,GIS_ID,CREATED_USER,CREATED_DATE,LAST_EDITED_USER,LAST_EDITED_DATE,SE_ANNO_CAD_DATA,GLOBALID,OBJECTID
-8570031.08534927,4713716.69434654,Fair,,No,1,2030,2016,ADA_BusStopPt_2950,mquach,2016/10/19 19:42:26+00,ADA,2024/06/27 20:40:41+00,,{744C6A82-BAE5-4562-8394-D3F661CF21CE},2950
-8570523.21230834,4713208.83096286,Fair,,Yes,1,2030,2016,ADA_BusStopPt_2951,mquach,2016/10/19 19:51:38+00,ADA,2024/06/27 20:40:41+00,,{468895C6-56D9-4E51-AE9A-264F70B68FA3},2951
-8571640.9011471,4699055.26058891,Non-Compliant,,No,1,2030,2016,ADA_BusStopPt_2952,mquach,2016/10/18 22:40:55+00,ADA,2024/06/27 20:40:41+00,,{8EE2FE15-5599-476C-9CEC-4025F0899F0C},2952
-8571938.16642209,4699928.56620798,Non-Compliant,,No,1,2030,2016,ADA_BusStopPt_2953,mquach,2016/10/18 22:54:14+00,ADA,2024/06/27 20:40:41+00,,{A3879DCC-7DE0-4E23-AB4B-D2C36133171B},2953
-8572124.24570392,4700055.209726,Non-Compliant,,No,1,2030,2016,ADA_BusStopPt_2954,mquach,2016/10/18 22:54:57+00,ADA,2024/06/27 20:40:41+00,,{FA18F305-833D-49C6-98A0-BAE3738D9601},2954
-8572464.77119326,4699492.6498404,Non-Compliant,,No,1,2030,2016,ADA_BusStopPt_2955,mquach,2016/10/18 22:58:54+00,ADA,2024/06/27 20:40:41+00,,{82B92EAC-7221-49B5-BB33-0BD5C6F0495E},2955
-8572451.21653218,4699514.38745043,Non-Compliant,,No,1,2030,2016,ADA_BusStopPt_2956,mquach,2016/10/18 22:59:20+00,ADA,2024/06/27 20:40:41+00,,{46FFFE59-8106-41BF-AAE1-6BC4FA2969A0},2956
-8572495.32333323,4699564.30836024,Good,,No,1,2030,2016,ADA_BusStopPt_2957,mquach,2016/10/18 23:01:30+00,ADA,2024/06/27 20:40:41+00,,{203F535B-F5CA-40B8-BD11-256B6436CB20},2957
-8571878.22021115,4698095.42486344,Fair,,No,1,2030,2016,ADA_BusStopPt_2958,mquach,2016/10/18 23:10:33+00,ADA,2024/06/27 20:40:41+00,,{8D9EA764-1280-4F6E-8D90-4C081855B12E},2958
-8572034.0103698,4697963.04278932,Non-Compliant,,No,1,2030,2016,ADA_BusStopPt_2959,mquach,2016/10/18 23:11:48+00,ADA,2024/06/27 20:40:41+00,,{7F339E0C-306E-4588-AEE7-2E7B0B94DC90},2959
-8572513.56290035,4697924.01418694,Fair,,Yes,1,2030,2016,ADA_BusStopPt_2960,mquach,2016/10/18 23:27:28+00,ADA,2024/06/27 20:40:41+00,,{9D686565-9378-4420-8B9F-75E1F5FED9BC},2960
-8573449.70252449,4695916.52387318,Non-Compliant,,Yes,1,2030,2016,ADA_BusStopPt_2961,mquach,2016/10/18 23:41:45+00,ADA,2024/06/27 20:40:41+00,,{317954B4-5277-4ADE-A838-6E63C6EB28FC},2961
-8573547.47552596,4696386.44931693,Good,,yes,1,2030,2016,ADA_BusStopPt_2962,mquach,2016/10/18 23:46:05+00,ADA,2024/06/27 20:40:41+00,,{49249030-A2C7-48AF-9420-69F472BB3898},2962
-8573545.20207825,4697035.22491001,Non-Compliant,,yes,1,2030,2016,ADA_BusStopPt_2963,mquach,2016/10/18 23:47:38+00,ADA,2024/06/27 20:40:41+00,,{6BA28D47-F3D8-4399-BBB3-50A9F0A08194},2963
-8573120.68775035,4697135.22964266,Fair,,no,1,2030,2016,ADA_BusStopPt_2964,mquach,2016/10/18 23:50:04+00,ADA,2024/06/27 20:40:41+00,,{C5B376EC-D8DD-4D8D-8D7A-1CEDD6FE6F05},2964
