X,Y,PUSHBUTTON_TYPE,INTERSECTION_ID,STATUS,ESTIMATED_YEAR_OF_IMPROVEMENT,YEAR_INSPECTED,GIS_ID,CREATED_USER,CREATED_DATE,LAST_EDITED_USER,LAST_EDITED_DATE,SE_ANNO_CAD_DATA,GLOBALID,OBJECTID
-8581778.81327407,4715433.31289781,None,,1,2030,2016,ADA_APSPt_6419,mquach,2016/07/14 01:02:51+00,ADA,2024/06/27 20:42:58+00,,{546AEDCB-87B3-4D26-8B31-57E7018FD7FB},6419
-8569269.93543096,4708363.63300018,None,,1,2030,2016,ADA_APSPt_6420,,,ADA,2024/06/27 20:42:58+00,,{D21AFB5E-2051-4EA1-83C4-AFFCA7EBB134},6420
-8578586.69393426,4713542.49009724,None,,1,2030,2016,ADA_APSPt_6421,bblowe,2016/08/25 07:32:45+00,ADA,2024/06/27 20:42:58+00,,{336929C7-3E75-4C61-9854-D00235591696},6421
-8569697.20672619,4711033.1501617,None,,1,2030,2016,ADA_APSPt_6422,cwright,2016/08/11 21:16:00+00,ADA,2024/06/27 20:42:58+00,,{AB829DB4-5F59-41BE-AC1F-1D3BBCA0C910},6422
-8572000.54238634,4709938.25021159,None,,1,2030,2016,ADA_APSPt_6423,cwright,2016/08/22 23:00:58+00,ADA,2024/06/27 20:42:58+00,,{DA2DF05D-9B2B-4C28-BF57-EBB831F3AFAC},6423
-8576458.92538851,4706245.52457304,Type C: Compliant version with Vibro-tactile and arrow,,1,2030,2016,ADA_APSPt_6424,sbennett,2016/09/09 16:29:59+00,ADA,2024/06/27 20:42:58+00,,{ED9702E1-6C1C-4EAB-A9C7-4A6B32AA68D4},6424
-8573411.18556166,4707532.26898938,None,,1,2030,2016,ADA_APSPt_6425,bblowe,2016/08/18 05:06:51+00,ADA,2024/06/27 20:42:58+00,,{79326259-6A2A-4584-8A5C-659ECDDF6177},6425
-8574741.93375165,4706991.76241603,None,,1,2030,2016,ADA_APSPt_6426,sbennett,2016/09/14 22:02:35+00,ADA,2024/06/27 20:42:58+00,,{9BD6F41B-C1AF-4E61-AD86-8177FFD627FE},6426
-8570169.00251959,4697660.00260855,None,,1,2030,2016,ADA_APSPt_6427,dwilkins,2016/08/05 20:08:03+00,ADA,2024/06/27 20:42:58+00,,{A2061DFE-C454-41B1-A00B-CBF7BC03B21D},6427
-8575539.47614371,4711119.61306555,None,,1,2030,2016,ADA_APSPt_6428,hseyedinejad,2016/08/11 01:10:47+00,ADA,2024/06/27 20:42:58+00,,{D9AEEE68-DBA5-4D6A-B5F6-F6D9E545AD9E},6428
-8576012.09766869,4706834.01483884,None,,1,2030,2016,ADA_APSPt_6429,sbennett,2016/09/12 20:05:34+00,ADA,2024/06/27 20:42:58+00,,{BF9C2690-AE23-489B-83B9-8193483E4E0D},6429
-8579763.66793559,4711449.93026504,None,,1,2030,2016,ADA_APSPt_6430,bblowe,2016/08/23 20:47:11+00,ADA,2024/06/27 20:42:58+00,,{DA1580C0-4085-4E80-A66C-1A626A7BA10C},6430
-8577188.47880044,4707900.94599537,None,,1,2030,2016,ADA_APSPt_6431,pkhouri,2016/09/10 22:31:06+00,ADA,2024/06/27 20:42:58+00,,{7703C955-5E03-41F3-B439-4E383593ACA1},6431
-8570913.19562215,4706089.21839741,None,,1,2030,2016,ADA_APSPt_6432,hseyedinejad,2016/08/17 19:15:48+00,ADA,2024/06/27 20:42:58+00,,{BA2844FD-48AE-44AB-AEBB-066F9B51F9E6},6432
-8569242.44762532,4713821.94798803,Type B: 3-inch button (non-compliant),,1,2030,2016,ADA_APSPt_6433,pkhouri,2016/08/20 01:33:07+00,ADA,2024/06/27 20:42:58+00,,{CDB8C07D-EDCB-4AC8-9F75-9B772257EF33},6433
